Participant.ID,List,quantifier,fruit,response
1,1,all,banana,Y
1,1,some,orange,Y
1,1,some,apple,I
1,1,some,banana,N
1,1,all,orange,Y
1,1,some,banana,I
1,1,some,apple,N
1,1,some,orange,I
1,1,all,apple,Y
2,2,all,banana,Y
2,2,some,orange,N
2,2,some,apple,N
2,2,some,banana,N
2,2,all,orange,Y
2,2,some,banana,I
2,2,some,apple,N
2,2,some,orange,I
2,2,all,apple,Y
3,1,all,banana,Y
3,1,some,orange,N
3,1,some,apple,I
3,1,some,banana,N
3,1,all,orange,Y
3,1,some,banana,I
3,1,some,apple,N
3,1,some,orange,I
3,1,all,apple,Y
4,2,all,banana,Y
4,2,some,orange,N
4,2,some,apple,N
4,2,some,banana,N
4,2,all,orange,Y
4,2,some,banana,I
4,2,some,apple,N
4,2,some,orange,I
4,2,all,apple,Y
5,1,all,banana,Y
5,1,some,orange,N
5,1,some,apple,I
5,1,some,banana,N
5,1,all,orange,Y
5,1,some,banana,N
5,1,some,apple,N
5,1,some,orange,I
5,1,all,apple,Y
6,2,all,banana,Y
6,2,some,orange,N
6,2,some,apple,N
6,2,some,banana,N
6,2,all,orange,Y
6,2,some,banana,N
6,2,some,apple,N
6,2,some,orange,N
6,2,all,apple,Y
7,1,all,banana,Y
7,1,some,orange,N
7,1,some,apple,N
7,1,some,banana,N
7,1,all,orange,Y
7,1,some,banana,N
7,1,some,apple,N
7,1,some,orange,Y
7,1,all,apple,Y
8,2,all,banana,Y
8,2,some,orange,N
8,2,some,apple,I
8,2,some,banana,N
8,2,all,orange,Y
8,2,some,banana,I
8,2,some,apple,I
8,2,some,orange,I
8,2,all,apple,Y
9,1,all,banana,Y
9,1,some,orange,N
9,1,some,apple,I
9,1,some,banana,Y
9,1,all,orange,Y
9,1,some,banana,I
9,1,some,apple,I
9,1,some,orange,I
9,1,all,apple,Y
10,2,all,banana,Y
10,2,some,orange,Y
10,2,some,apple,Y
10,2,some,banana,I
10,2,all,orange,Y
10,2,some,banana,I
10,2,some,apple,Y
10,2,some,orange,N
10,2,all,apple,Y
11,1,all,banana,Y
11,1,some,orange,N
11,1,some,apple,Y
11,1,some,banana,N
11,1,all,orange,Y
11,1,some,banana,N
11,1,some,apple,N
11,1,some,orange,Y
11,1,all,apple,Y
12,2,all,banana,Y
12,2,some,orange,I
12,2,some,apple,I
12,2,some,banana,I
12,2,all,orange,Y
12,2,some,banana,I
12,2,some,apple,I
12,2,some,orange,I
12,2,all,apple,Y
13,1,all,banana,Y
13,1,some,orange,N
13,1,some,apple,I
13,1,some,banana,I
13,1,all,orange,Y
13,1,some,banana,I
13,1,some,apple,I
13,1,some,orange,I
13,1,all,apple,Y
14,2,all,banana,Y
14,2,some,orange,N
14,2,some,apple,N
14,2,some,banana,N
14,2,all,orange,Y
14,2,some,banana,N
14,2,some,apple,N
14,2,some,orange,N
14,2,all,apple,Y
15,1,all,banana,Y
15,1,some,orange,N
