Movement,Island_Type,Island,Distance,Item,Sentence,Subj_id,Score
WH,whe,non,sh,1,Who thinks that Paul stole the necklace?,1,6
WH,whe,non,sh,2,Who thinks that Matt chased the bus?,1,2
WH,whe,non,sh,3,Who thinks that Tom sold the television?,1,3
WH,whe,non,sh,4,Who thinks that Stacey wrote the letter?,1,7
WH,whe,non,sh,5,Who thinks that Aaron bought the house?,1,2
WH,whe,non,sh,6,Who thinks that George read the book?,1,4
WH,whe,non,sh,7,Who thinks that Heather saw the movie?,1,7
WH,whe,non,sh,8,Who thinks that Casey baked the cake?,1,2
WH,whe,isl,sh,1,Who wonders whether Paul stole the necklace?,1,5
WH,whe,isl,sh,2,Who wonders whether Matt chased the bus?,1,2
WH,whe,isl,sh,3,Who wonders whether Tom sold the television?,1,3
WH,whe,isl,sh,4,Who wonders whether Stacey wrote the letter?,1,5
WH,whe,isl,sh,5,Who wonders whether Aaron bought the house?,1,5
WH,whe,isl,sh,6,Who wonders whether George read the book?,1,2
WH,whe,isl,sh,7,Who wonders whether Heather saw the movie?,1,4
WH,whe,isl,sh,8,Who wonders whether Casey baked the cake?,1,4
WH,whe,non,lg,1,What does the detective think that Paul stole?,1,2
WH,whe,non,lg,2,What does the police officer think that Matt chased?,1,3
WH,whe,non,lg,3,What does the manager think that Tom sold?,1,2
WH,whe,non,lg,4,What does the soldier think that Stacey wrote?,1,7
WH,whe,non,lg,5,What does the agent think that Aaron bought?,1,7
WH,whe,non,lg,6,What does the teacher think that George read?,1,1
WH,whe,non,lg,7,What does the girl think that Heather saw?,1,6
WH,whe,non,lg,8,What does the guest think that Casey baked?,1,5
WH,whe,isl,lg,1,What does the detective wonder whether Paul stole?,1,2
WH,whe,isl,lg,2,What does the police officer wonder whether Matt chased?,1,3
WH,whe,isl,lg,3,What does the manager wonder whether Tom sold?,1,1
WH,whe,isl,lg,4,What does the soldier wonder whether Stacey wrote?,1,1
WH,whe,isl,lg,5,What does the agent wonder whether Aaron bought?,1,2
WH,whe,isl,lg,6,What does the teacher wonder whether George read?,1,1
WH,whe,isl,lg,7,What does the girl wonder whether Heather saw?,1,1
WH,whe,isl,lg,8,What does the guest wonder whether Casey baked?,1,4
WH,whe,non,sh,1,Who thinks that Paul stole the necklace?,2,5
WH,whe,non,sh,2,Who thinks that Matt chased the bus?,2,4
WH,whe,non,sh,3,Who thinks that Tom sold the television?,2,6
WH,whe,non,sh,4,Who thinks that Stacey wrote the letter?,2,3
WH,whe,non,sh,5,Who thinks that Aaron bought the house?,2,6
WH,whe,non,sh,6,Who thinks that George read the book?,2,6
WH,whe,non,sh,7,Who thinks that Heather saw the movie?,2,4
WH,whe,non,sh,8,Who thinks that Casey baked the cake?,2,6
