"","structure","extraction","subject","item","judgments"
"1","non-island",0,1,1,0.219341434188152
"2","non-island",0,2,2,0.505289700682947
"3","non-island",0,3,3,1.45434469660272
"4","non-island",0,4,4,0.587271540663016
"5","non-island",0,5,1,-0.844590986800806
"6","non-island",0,6,2,-0.0832810055213467
"7","non-island",0,7,3,0.242914356373534
"8","non-island",0,8,4,2.53982889069313
"9","non-island",0,9,1,1.3767017380507
"10","non-island",0,10,2,-0.814513089184151
"11","non-island",0,11,3,1.04397347045256
"12","non-island",0,12,4,0.541853520673783
"13","non-island",0,13,1,0.125133857422732
"14","non-island",0,14,2,1.42226559203747
"15","non-island",0,15,3,0.874065322590573
"16","non-island",0,16,4,0.363578063757764
"17","non-island",0,17,1,-0.0865750629399596
"18","non-island",0,18,2,1.49402733155903
"19","non-island",0,19,3,-0.345405390790519
"20","non-island",0,20,4,0.241839753113528
"21","non-island",0,21,1,-0.966677765656929
"22","non-island",0,22,2,0.607454253226564
"23","non-island",0,23,3,1.31673798496023
"24","non-island",0,24,4,0.214555621985122
"25","non-island",0,25,1,1.15828553716736
"26","non-island",0,26,2,0.212161893662445
"27","non-island",0,27,3,0.69287072701537
"28","non-island",0,28,4,-0.304840580369535
"29","non-island",0,29,1,3.41688263291048
"30","non-island",0,30,2,0.782080095694516
"31","non-island",0,31,3,0.57979924787361
"32","non-island",0,32,4,-0.168887080937562
"33","non-island",0,33,1,2.48057996488287
"34","non-island",0,34,2,1.91011566239896
"35","non-island",0,35,3,1.75151064798573
"36","non-island",0,36,4,0.968138717627585
"37","non-island",0,37,1,0.509572707593501
"38","non-island",0,38,2,1.53263474392359
"39","non-island",0,39,3,0.786796066476335
"40","non-island",0,40,4,1.97890886311837
"41","non-island",0,41,1,-1.1475138054282
"42","non-island",0,42,2,-0.048121705704816
"43","non-island",0,43,3,0.697719145992592
"44","non-island",0,44,4,0.138117638321083
"45","non-island",0,45,1,1.62509058994159
"46","non-island",0,46,2,-1.99602728434216
"47","non-island",0,47,3,2.73364586194905
"48","non-island",0,48,4,0.481684086866188
"49","non-island",0,1,1,1.74486910410019
"50","non-island",0,2,2,0.97077973374589
"51","non-island",0,3,3,-0.10428762858337
"52","non-island",0,4,4,0.269310801287436
"53","non-island",0,5,1,-1.13696265182917
"54","non-island",0,6,2,0.264586316458334
"55","non-island",0,7,3,0.731549388517821
"56","non-island",0,8,4,1.07363618731815
"57","non-island",0,9,1,1.8983334376338
"58","non-island",0,10,2,0.205290672883433
"59","non-island",0,11,3,0.0731084061432172
"60","non-island",0,12,4,0.661230699535659
"61","non-island",0,13,1,0.299921526994203
"62","non-island",0,14,2,0.306165444157109
"63","non-island",0,15,3,-0.209890951800173
"64","non-island",0,16,4,1.00118633420536
"65","non-island",0,17,1,2.13024123488618
"66","non-island",0,18,2,0.951478633132729
"67","non-island",0,19,3,0.885974842746516
"68","non-island",0,20,4,-0.17824740239828
"69","non-island",0,21,1,-0.766553233450635
"70","non-island",0,22,2,0.959655545053426
"71","non-island",0,23,3,-0.0980128089173063
"72","non-island",0,24,4,0.315831984008546
"73","non-island",0,25,1,0.984979817441382
"74","non-island",0,26,2,1.55893457752446
"75","non-island",0,27,3,-0.384881886075495
"76","non-island",0,28,4,1.06081941088794
"77","non-island",0,29,1,1.09108202032137
"78","non-island",0,30,2,-0.279927580025518
